#Warren, S. G., 1984: Optical constants of ice from ultraviolet to microwave,
#Applied Optics, 23, 1206-1225
#(with  updates given by  S. G. Warren in 1995).
#
#Wave(microns)	Real part 	Imaginary part	     
4.43000E-02	8.34410E-01	1.64000E-01
4.51544E-02	8.36796E-01	1.73668E-01
4.60253E-02	8.37349E-01	1.84639E-01
4.69130E-02	8.37781E-01	1.96599E-01
4.78178E-02	8.38548E-01	2.09919E-01
4.87400E-02	8.41342E-01	2.25326E-01
4.96800E-02	8.47839E-01	2.40793E-01
5.06382E-02	8.55404E-01	2.50311E-01
5.16149E-02	8.60068E-01	2.58299E-01
5.26103E-02	8.62136E-01	2.66440E-01
5.36250E-02	8.61796E-01	2.76230E-01
5.46593E-02	8.61163E-01	2.90304E-01
5.57135E-02	8.62478E-01	3.07250E-01
5.67880E-02	8.65685E-01	3.25178E-01
5.78833E-02	8.70367E-01	3.43585E-01
5.89996E-02	8.77638E-01	3.65993E-01
6.01376E-02	8.89293E-01	3.85614E-01
6.12974E-02	9.02290E-01	4.04654E-01
6.24796E-02	9.16604E-01	4.23118E-01
6.36847E-02	9.32042E-01	4.41180E-01
6.49129E-02	9.48582E-01	4.58479E-01
6.61649E-02	9.68142E-01	4.78130E-01
6.74410E-02	9.91607E-01	4.97755E-01
6.87417E-02	1.01993E+00	5.14897E-01
7.00675E-02	1.05053E+00	5.23767E-01
7.14189E-02	1.08064E+00	5.29484E-01
7.27963E-02	1.10980E+00	5.32755E-01
7.42003E-02	1.13944E+00	5.33069E-01
7.56314E-02	1.16710E+00	5.29423E-01
7.70901E-02	1.19320E+00	5.25173E-01
7.85769E-02	1.21695E+00	5.17868E-01
8.00924E-02	1.23961E+00	5.09649E-01
8.16371E-02	1.25967E+00	5.03873E-01
8.32117E-02	1.28220E+00	4.99815E-01
8.48165E-02	1.30992E+00	4.99241E-01
8.64524E-02	1.34272E+00	4.89144E-01
8.81198E-02	1.37920E+00	4.72603E-01
8.98193E-02	1.39993E+00	4.31914E-01
9.15516E-02	1.41439E+00	3.86092E-01
9.33174E-02	1.40793E+00	3.57119E-01
9.51172E-02	1.40161E+00	3.41383E-01
9.69517E-02	1.40107E+00	3.30163E-01
9.88215E-02	1.40159E+00	3.19996E-01
1.00727E-01	1.40458E+00	3.07530E-01
1.02670E-01	1.40818E+00	2.94925E-01
1.04650E-01	1.40717E+00	2.78184E-01
1.06669E-01	1.40397E+00	2.60353E-01
1.08726E-01	1.39806E+00	2.48012E-01
1.10823E-01	1.38989E+00	2.42452E-01
1.12960E-01	1.38354E+00	2.39000E-01
1.15139E-01	1.38106E+00	2.40396E-01
1.17360E-01	1.38166E+00	2.43103E-01
1.19623E-01	1.38951E+00	2.45580E-01
1.21930E-01	1.40036E+00	2.39564E-01
1.24282E-01	1.40859E+00	2.21248E-01
1.26679E-01	1.40363E+00	1.99404E-01
1.29122E-01	1.38379E+00	1.77263E-01
1.31613E-01	1.34585E+00	1.78335E-01
1.34151E-01	1.31369E+00	2.04586E-01
1.36738E-01	1.28944E+00	2.61520E-01
1.39375E-01	1.32228E+00	3.45714E-01
1.42064E-01	1.40359E+00	3.95747E-01
1.44804E-01	1.51368E+00	3.92862E-01
1.47596E-01	1.59628E+00	3.32058E-01
1.50443E-01	1.62269E+00	2.46255E-01
1.53345E-01	1.63482E+00	1.90554E-01
1.56302E-01	1.63755E+00	1.22728E-01
1.59317E-01	1.61434E+00	4.78036E-02
1.62389E-01	1.55890E+00	1.15428E-02
1.65521E-01	1.51731E+00	2.57085E-03
1.68714E-01	1.48948E+00	5.56158E-04
1.71968E-01	1.46897E+00	1.17102E-04
1.75284E-01	1.45313E+00	2.37760E-05
1.78665E-01	1.44028E+00	4.69712E-06
1.82111E-01	1.42920E+00	8.77535E-07
1.85623E-01	1.41992E+00	1.53919E-07
1.89203E-01	1.41177E+00	8.87239E-08
1.92852E-01	1.40471E+00	6.24458E-08
1.96572E-01	1.39845E+00	4.64955E-08
2.00363E-01	1.39309E+00	3.74825E-08
2.04227E-01	1.38776E+00	3.15556E-08
2.08166E-01	1.38244E+00	2.69447E-08
2.12181E-01	1.37829E+00	2.35935E-08
2.16273E-01	1.37512E+00	2.12678E-08
2.20445E-01	1.37196E+00	1.96115E-08
2.24696E-01	1.36873E+00	1.79143E-08
2.29030E-01	1.36551E+00	1.64961E-08
2.33447E-01	1.36231E+00	1.53601E-08
2.37950E-01	1.35913E+00	1.45812E-08
2.42539E-01	1.35591E+00	1.39906E-08
2.47217E-01	1.35268E+00	1.35202E-08
2.51985E-01	1.35007E+00	1.32798E-08
2.56845E-01	1.34832E+00	1.32311E-08
2.61798E-01	1.34656E+00	1.31632E-08
2.66848E-01	1.34479E+00	1.30619E-08
2.71994E-01	1.34301E+00	1.29180E-08
2.77240E-01	1.34123E+00	1.27077E-08
2.82587E-01	1.33946E+00	1.23852E-08
2.88037E-01	1.33772E+00	1.19507E-08
2.93593E-01	1.33594E+00	1.15029E-08
2.99255E-01	1.33413E+00	1.10568E-08
3.05027E-01	1.33294E+00	1.00918E-08
3.10910E-01	1.33183E+00	9.17977E-09
3.16906E-01	1.33075E+00	8.55242E-09
3.23018E-01	1.32965E+00	8.06212E-09
3.29248E-01	1.32853E+00	7.69293E-09
3.35598E-01	1.32739E+00	7.27663E-09
3.42071E-01	1.32624E+00	6.81271E-09
3.48668E-01	1.32512E+00	6.25559E-09
3.55393E-01	1.32430E+00	5.55574E-09
3.62247E-01	1.32353E+00	4.86137E-09
3.69234E-01	1.32269E+00	4.19643E-09
3.76355E-01	1.32190E+00	3.66810E-09
3.83614E-01	1.32110E+00	3.31362E-09
3.91013E-01	1.32030E+00	3.08786E-09
3.98554E-01	1.31954E+00	2.86107E-09
4.06241E-01	1.31884E+00	2.62143E-09
4.14076E-01	1.31819E+00	2.40419E-09
4.22062E-01	1.31760E+00	2.22129E-09
4.30202E-01	1.31701E+00	2.07637E-09
4.38500E-01	1.31643E+00	1.93435E-09
4.46957E-01	1.31588E+00	1.64345E-09
4.55577E-01	1.31535E+00	1.53439E-09
4.64364E-01	1.31484E+00	1.53875E-09
4.73320E-01	1.31434E+00	1.57953E-09
